CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-09 00:00,66.5,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-10 00:00,64.3,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-11 00:00,48,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-12 00:00,49.5,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-13 00:00,54,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-14 00:00,48,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-15 00:00,39.9,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-16 00:00,54,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-17 00:00,42.1,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-18 00:00,64.3,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-19 00:00,60.6,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-20 00:00,70.3,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-21 00:00,48,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-22 00:00,34.8,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-23 00:00,64.3,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-24 00:00,48,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-25 00:00,40.6,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-26 00:00,57.6,4,EST. OTROS METODOS,900
36017010,PAZ DE ARIPORO [36017010],5.9065555560,-71.90238889,274,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Casanare,Hato Corozal,15/05/1993 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1996-06-27 00:00,44.3,4,EST. OTROS METODOS,900
